,ppm,hm,sensor,strain,max
38,0.01,Cu,cusC,ALE2,3.333680978040442
39,0.02,Cu,cusC,ALE2,3.3740087559887657
40,0.02,Cu,cusC,ALE2,3.737878787878788
41,0.02,Cu,cusC,ALE2,3.223623556780975
42,0.03,Cu,cusC,ALE2,3.4405594405594404
43,0.03,Cu,cusC,ALE2,3.089019221
44,0.03,Cu,cusC,ALE2,6.807038825863941
45,0.04,Cu,cusC,ALE2,4.141199448529412
46,0.04,Cu,cusC,ALE2,3.802396043741729
47,0.04,Cu,cusC,ALE2,3.1555213598565137
48,0.06,Cu,cusC,ALE2,3.063483908847382
49,0.06,Cu,cusC,ALE2,3.006748996193604
50,0.06,Cu,cusC,ALE2,2.934651797175867
51,0.1,Cu,cusC,ALE2,3.1509678847392144
52,0.1,Cu,cusC,ALE2,3.1727680097216417
53,0.1,Cu,cusC,ALE2,3.4072151153455006
54,0.2,Cu,cusC,ALE2,3.1707369323050556
55,0.2,Cu,cusC,ALE2,3.989550473
56,0.2,Cu,cusC,ALE2,3.5344335778321105
57,0.3,Cu,cusC,ALE2,6.260638297872341
58,0.3,Cu,cusC,ALE2,4.741680497925311
59,0.3,Cu,cusC,ALE2,4.465227002210509
60,0.4,Cu,cusC,ALE2,6.558107167710507
61,0.4,Cu,cusC,ALE2,6.378571428571428
62,0.4,Cu,cusC,ALE2,5.623177798109179
63,0.6,Cu,cusC,ALE2,9.108915537017728
64,0.6,Cu,cusC,ALE2,8.999612922435611
65,0.6,Cu,cusC,ALE2,8.668656716
66,1,Cu,cusC,ALE2,8.383192558537367
67,1,Cu,cusC,ALE2,16.40619790426292
68,1,Cu,cusC,ALE2,15.230823173161207
69,2,Cu,cusC,ALE2,15.594907768251494
70,2,Cu,cusC,ALE2,16.316855992913865
71,2,Cu,cusC,ALE2,14.895092223061159
72,0.001,As,arsR,ALE2,1.5745963401506995
73,0.001,As,arsR,ALE2,1.579590056694287
74,0.001,As,arsR,ALE2,1.7812532259729534
75,0.002,As,arsR,ALE2,1.658456243854474
76,0.002,As,arsR,ALE2,1.3258164655999192
77,0.002,As,arsR,ALE2,1.2190653008962868
78,0.004,As,arsR,ALE2,1.502507836990596
79,0.004,As,arsR,ALE2,1.6363181135339373
80,0.004,As,arsR,ALE2,1.719676549865229
81,0.008,As,arsR,ALE2,1.2473801587491908
82,0.008,As,arsR,ALE2,1.6723732796240347
83,0.008,As,arsR,ALE2,1.370585733
84,0.02,As,arsR,ALE2,1.4118371746830245
85,0.02,As,arsR,ALE2,1.7074645869807417
86,0.02,As,arsR,ALE2,1.0673350865658557
87,0.03,As,arsR,ALE2,1.4736196639181713
88,0.03,As,arsR,ALE2,1.314526588845655
89,0.03,As,arsR,ALE2,1.5217599365591543
90,0.06,As,arsR,ALE2,1.3790579339359827
91,0.06,As,arsR,ALE2,1.645196337110042
92,0.06,As,arsR,ALE2,1.674663031955172
93,0.1,As,arsR,ALE2,1.5222936763129689
94,0.1,As,arsR,ALE2,1.153205283274469
95,0.1,As,arsR,ALE2,1.464401463669629
96,0.25,As,arsR,ALE2,1.6514314414866902
97,0.25,As,arsR,ALE2,2.2469576309166754
98,0.25,As,arsR,ALE2,1.7211543553084458
99,0.5,As,arsR,ALE2,1.9962422634836428
100,0.5,As,arsR,ALE2,2.136143992216637
101,0.5,As,arsR,ALE2,2.404601533844615
102,1,As,arsR,ALE2,2.467404461352239
103,1,As,arsR,ALE2,2.2697881287400943
104,1,As,arsR,ALE2,2.3917460317460315
105,2,As,arsR,ALE2,2.5185079928952048
106,2,As,arsR,ALE2,2.302270416807862
107,2,As,arsR,ALE2,2.655231030752588
108,0.001,Cd,zntA,ALE1,4.008421082833616
109,0.001,Cd,zntA,ALE1,3.6893033966609097
110,0.001,Cd,zntA,ALE1,3.708765386049982
111,0.002,Cd,zntA,ALE1,3.512608205
112,0.002,Cd,zntA,ALE1,3.5581242323214606
113,0.002,Cd,zntA,ALE1,3.1563251162839094
114,0.004,Cd,zntA,ALE1,3.5391155296537535
115,0.004,Cd,zntA,ALE1,3.4975888211017407
116,0.004,Cd,zntA,ALE1,3.628801677397493
117,0.008,Cd,zntA,ALE1,3.4592259225922595
118,0.008,Cd,zntA,ALE1,3.796335718024777
119,0.008,Cd,zntA,ALE1,3.368912927
120,0.02,Cd,zntA,ALE1,4.871179699492953
121,0.02,Cd,zntA,ALE1,4.668182378058795
122,0.02,Cd,zntA,ALE1,4.335405912717034
123,0.03,Cd,zntA,ALE1,4.978054677329365
124,0.03,Cd,zntA,ALE1,4.716400911161731
125,0.03,Cd,zntA,ALE1,4.6870334611061475
126,0.06,Cd,zntA,ALE1,5.6784029355233265
127,0.06,Cd,zntA,ALE1,4.972661311220524
128,0.06,Cd,zntA,ALE1,5.198388480025527
129,0.1,Cd,zntA,ALE1,6.687144385026738
130,0.1,Cd,zntA,ALE1,5.097936455944971
131,0.1,Cd,zntA,ALE1,6.339981072869453
132,0.25,Cd,zntA,ALE1,9.454943787251699
133,0.25,Cd,zntA,ALE1,7.679136955233639
134,0.25,Cd,zntA,ALE1,8.332791119
135,0.5,Cd,zntA,ALE1,10.110430259662266
136,0.5,Cd,zntA,ALE1,9.587572354425369
137,0.5,Cd,zntA,ALE1,8.900206469373709
138,1,Cd,zntA,ALE1,10.506710049580473
139,1,Cd,zntA,ALE1,9.599504413814463
140,1,Cd,zntA,ALE1,10.179610672041584
141,2,Cd,zntA,ALE1,5.76887716
142,2,Cd,zntA,ALE1,5.624323627930947
143,2,Cd,zntA,ALE1,5.640041125338817
144,0.001,Cd,zntA,ALE2,1.4833489821603376
145,0.001,Cd,zntA,ALE2,1.6074964980920639
146,0.001,Cd,zntA,ALE2,1.4474436198425262
147,0.002,Cd,zntA,ALE2,1.6646971935007386
148,0.002,Cd,zntA,ALE2,1.5284530386740334
149,0.002,Cd,zntA,ALE2,1.4336538461538462
150,0.004,Cd,zntA,ALE2,1.5168480196897567
151,0.004,Cd,zntA,ALE2,1.4749670811997073
152,0.004,Cd,zntA,ALE2,1.0802712592300445
153,0.008,Cd,zntA,ALE2,1.2344913460341178
154,0.008,Cd,zntA,ALE2,1.1713798654050618
155,0.008,Cd,zntA,ALE2,1.2031400966183576
156,0.02,Cd,zntA,ALE2,1.2145958583834333
157,0.02,Cd,zntA,ALE2,1.2803247024430988
158,0.02,Cd,zntA,ALE2,1.3464649033570701
159,0.03,Cd,zntA,ALE2,1.8478388963987387
160,0.03,Cd,zntA,ALE2,1.579291395104513
161,0.03,Cd,zntA,ALE2,1.521416064623398
162,0.06,Cd,zntA,ALE2,1.8935599284436493
163,0.06,Cd,zntA,ALE2,1.0325363601334892
164,0.06,Cd,zntA,ALE2,2.0125581876487018
165,0.1,Cd,zntA,ALE2,2.097764720069284
166,0.1,Cd,zntA,ALE2,2.1852880360952134
167,0.1,Cd,zntA,ALE2,2.1846396633350866
168,0.25,Cd,zntA,ALE2,2.873201722146382
169,0.25,Cd,zntA,ALE2,2.7991638527094387
170,0.25,Cd,zntA,ALE2,2.945511748603421
171,0.5,Cd,zntA,ALE2,2.377686382359163
172,0.5,Cd,zntA,ALE2,3.102766382665404
173,0.5,Cd,zntA,ALE2,2.8553909044455805
174,1,Cd,zntA,ALE2,3.260570929
175,1,Cd,zntA,ALE2,3.3782131460612463
176,1,Cd,zntA,ALE2,3.152887578721694
177,2,Cd,zntA,ALE2,2.351755187263474
178,2,Cd,zntA,ALE2,3.204911914
179,2,Cd,zntA,ALE2,3.1547567684176463
180,0.001,Hg,merR,ALE1,3.668674698795181
181,0.001,Hg,merR,ALE1,3.1247408566399373
182,0.001,Hg,merR,ALE1,3.4394200677013473
183,0.002,Hg,merR,ALE1,3.902127200086384
184,0.002,Hg,merR,ALE1,3.760825885124367
185,0.002,Hg,merR,ALE1,3.486354034643008
186,0.004,Hg,merR,ALE1,3.8170111578562285
187,0.004,Hg,merR,ALE1,3.548078490172431
188,0.004,Hg,merR,ALE1,3.9926511115193826
189,0.006,Hg,merR,ALE1,4.5629605732332665
190,0.006,Hg,merR,ALE1,5.279689323514025
191,0.006,Hg,merR,ALE1,5.181020590868398
192,0.01,Hg,merR,ALE1,11.994964234620886
193,0.01,Hg,merR,ALE1,9.623641496118562
194,0.01,Hg,merR,ALE1,9.629462122435795
195,0.02,Hg,merR,ALE1,23.14287131988091
196,0.02,Hg,merR,ALE1,21.242300556586272
197,0.02,Hg,merR,ALE1,25.68568163265306
198,0.04,Hg,merR,ALE1,40.38269048071442
199,0.04,Hg,merR,ALE1,46.26414358174014
200,0.04,Hg,merR,ALE1,50.941877794336804
201,0.06,Hg,merR,ALE1,63.55913511635985
202,0.06,Hg,merR,ALE1,61.45977745348413
203,0.06,Hg,merR,ALE1,66.38316008316008
204,0.1,Hg,merR,ALE1,71.90444515
205,0.1,Hg,merR,ALE1,71.22376813625849
206,0.1,Hg,merR,ALE1,79.41472742066722
207,0.2,Hg,merR,ALE1,72.71369620750639
208,0.2,Hg,merR,ALE1,79.46713842574641
209,0.2,Hg,merR,ALE1,66.98450213095698
210,0.4,Hg,merR,ALE1,1.496316758747698
211,0.4,Hg,merR,ALE1,1.395012469
212,0.4,Hg,merR,ALE1,1.633451536643026
