Slice,zraP_mean,zraP_std,arsR_mean,arsR_std,zntA_mean,zntA_std,merR_mean,merR_std,U139_mean,U139_std,cusC_mean,cusC_std,cadC_mean,cadC_std
29,11.216084492839663,2.390993700833531,25.496265452946805,6.416329701898853,14.377979984049036,8.278997541988215,7.557977580857026,1.0227912782393245,17.698971455726767,3.398283606965942,25.14817149324579,4.694982417755684,9.356303543321424,1.179580819
30,8.856317859989028,2.3344140096263835,23.457662489162487,6.1072896648424555,14.187224664833579,8.216950937895067,8.163824324183047,1.025904914,17.784937254685193,3.7698738162465006,26.095844316000555,5.102046088878374,9.443890628217613,1.24167993
31,9.911735852355065,3.108717296317151,24.05779289553401,6.058368425475252,14.077294804328004,8.129453980754286,6.466859280369454,1.2257232081479001,17.72243289745233,3.053905914483363,26.435706883948093,5.041440079000673,9.024340639149054,1.261638545
32,11.54148781359931,2.7484400718303115,24.24503310611846,6.397805738641602,14.614006608461104,8.344360390784722,7.4207306839359966,1.524587044160767,17.845830314474526,4.026997707796696,25.36629758543132,4.700653816124459,9.148069531999242,1.000166389
33,12.528619874459967,2.477463356666422,25.193711855806942,6.113011826325359,14.85602482943381,8.309288144807345,8.68697195,1.4302607131240868,17.713675438066524,2.573375689127538,25.717619996564164,5.371676372246986,9.495507255887045,1.08783102
34,10.119380956494368,2.5742533711224835,23.670353350724813,5.826264184,14.501166492672077,8.373573740037703,8.019465065853668,0.8824980038539257,17.762041022718194,3.6993282988974703,25.961325909704534,5.304122346070186,9.659019081,1.179580819
35,10.434951930097467,1.8541483962482275,23.092464472367663,6.3298047068591226,14.480351365010009,8.31321856,6.756335501752339,1.3196072200790865,17.682750122473323,3.1598927896732327,26.170032921166523,4.997345221135562,9.70248235,1.24167993
36,10.70119825,1.9824233640473639,24.42925173323436,6.152550119580681,14.395171225365202,8.610202016,8.222022406669508,1.3402649749874855,17.72732106347156,2.524368468789411,26.00780463580769,4.837507876507963,9.254951255524963,1.261638545
37,10.13413649081725,2.3893011886369875,23.863611071026956,5.703755660763378,14.55299440879104,8.502554124247457,7.450747361091493,1.4165750128107693,17.75904137,3.1143480986975702,26.279715088353804,4.4329865862672735,9.356303543321424,0.886931935
38,9.923213689510211,2.4377126661069464,23.656458913482965,6.7265059184126015,14.397254692383743,8.371071999164212,8.087793271571368,0.8549811859073666,17.752798309149995,3.426778205636918,25.60952478137866,4.495871088579989,9.443890628217613,0.950684323
39,10.745708941526024,1.8722968199902108,24.777028822372216,6.466239600174559,14.797782630245031,8.592029976698424,8.610773702283929,1.014375305521519,17.723635470449903,2.7553423672236343,26.11188400520777,4.634869011078076,9.024340639149054,1.000166389
40,9.915501696709914,2.933806226941102,24.20890671,6.539412508758264,14.465981062087076,8.393792137838494,6.830827713129752,0.9917984009945405,17.652443739127094,2.2077310462368955,25.41031286078157,4.799394802639157,9.148069531999242,1.08783102
41,10.358951393409857,1.9968010819560007,24.286644797322335,6.023288761049282,14.512605049826469,8.572184307688909,7.889251327223482,1.050540100223353,17.80117188206463,4.010087708167958,25.33080542,3.7977599508082847,9.254951255524963,1.179580819
