Slice,arsR,arsR,arsR,arsR,arsRBG,zntA,zntA,zntA,zntA,zntABG,zraP,zraP,zraP,zraP,zraPBG,cusC,cusC,cusC,cusC,cusCBG,merR,merR,merR,merR,merRBG,U139,U139,U139,U139,U139BG
42,2566.893,2552.036,2635.274,2576.738,2365.506,2778.101,2740.375,2723.423,2610.72,2354.131,2379.423,2374.417,2371.012,2354.5,2333.792,2432.883,2436.383,2415.483,2452.15,2306.467,2323.661,2330.099,2323.421,2329.017,2299.884,2317,2302.661,2294.612,2299.942,2255.95
43,2567.726,2562.339,2636.893,2571.274,2362.268,2776.06,2752.887,2725.905,2607.655,2351.333,2376.083,2374.185,2367.56,2355.708,2330.44,2430.2,2447.133,2423.983,2455.867,2297.3,2327.496,2329.579,2325.901,2330.802,2294.529,2310.917,2303.537,2291.901,2295.645,2260.438
44,2565.958,2550.94,2635.315,2574.345,2363.178,2785.923,2764.315,2726.762,2614.947,2349.833,2371.31,2370.714,2369.661,2356.185,2330.595,2427,2433.183,2420.917,2454.117,2312.783,2329.438,2327.14,2328.471,2331.231,2298.347,2311.314,2299.661,2293.876,2295.603,2259.331
45,2570.327,2551.03,2631.47,2566.994,2367.845,2787.786,2756.69,2718.589,2617.274,2347.744,2370.708,2372.548,2363.595,2357.589,2337.006,2427.15,2438.45,2431.4,2448.767,2302.967,2327.017,2329.744,2322.256,2329.893,2296.537,2314.033,2302.942,2298.446,2294.736,2256.504
46,2567.69,2552.238,2642.113,2572.488,2360.863,2789.792,2741.256,2722.22,2609.357,2346.113,2378.714,2366.792,2363.923,2357.756,2334.428,2424.667,2447.683,2429.667,2455.5,2303.183,2328.752,2326.645,2327.603,2325.041,2298,2314.967,2296.182,2298.149,2296.372,2258.537
47,2565.089,2556.964,2635.678,2569.006,2368.024,2772.75,2742.089,2722.803,2605.958,2345.024,2382.762,2370.369,2370.435,2360.048,2329.542,2437.083,2441.25,2426.733,2461.6,2301.1,2334.322,2334.769,2327.612,2328.95,2294.818,2313.777,2299.364,2295.785,2295.413,2258.719
48,2566.143,2553.327,2640.47,2568.815,2358.006,2783.863,2746.101,2725.464,2609.583,2351.792,2371.083,2373.113,2365.292,2349.518,2331.655,2423.133,2444.383,2423.983,2445.983,2297.95,2329.496,2328.397,2325.083,2329.256,2293.157,2316.711,2303.975,2296.298,2292.165,2255.198
49,2568.482,2551.363,2630.905,2570.101,2364.303,2791.976,2718.435,2725.417,2607.803,2344.345,2375.232,2371.548,2367.935,2355.339,2331.738,2417.283,2430.15,2416.367,2444.467,2302.567,2331.785,2327.702,2326.678,2327.512,2293.736,2315.579,2304.017,2297.223,2292.793,2254.223
50,2568.447,2559.988,2639.256,2564.839,2360.935,2780.893,2719.952,2728.06,2609.351,2348.262,2376.958,2372.393,2369.286,2352.072,2337.572,2427.4,2430.017,2423.45,2443.283,2295.567,2325.744,2332.785,2326.967,2324.917,2299.851,2311.95,2301.992,2294.38,2293.744,2258.942
51,2564.125,2562.262,2637.875,2571.542,2363.012,2782.75,2721.012,2735.845,2608.274,2346.113,2379.678,2371.756,2368.607,2352.512,2330.643,2423.183,2449.633,2423.817,2453.867,2301.85,2327.785,2331.983,2330.132,2332.091,2295.636,2312.331,2305.215,2298.702,2291.306,2260.248
52,2560.649,2552.256,2652.732,2570.452,2365.185,2784.47,2718.833,2736.149,2606.369,2349.893,2375.31,2368.274,2372.678,2359.56,2329.256,2418.933,2432.2,2417.967,2448.917,2303.767,2335.281,2328.545,2328.769,2329.24,2291.083,2319.116,2297.496,2300,2289.843,2254.785
53,2565.399,2553.94,2650.137,2572.982,2365.053,2784.22,2723.315,2736.428,2604.303,2347.988,2374.345,2367.292,2371,2357.851,2332.053,2420.183,2445.783,2423.35,2453.817,2302.9,2329.909,2330.322,2334.132,2327.306,2296.769,2315.769,2304.405,2295.223,2289.669,2256.405
54,2563.387,2552.125,2651.732,2570.947,2361.887,2788.363,2728.512,2735.28,2599.351,2348.417,2377.726,2375.322,2366.322,2354.548,2335.774,2425.267,2443.633,2431.567,2455.183,2296.433,2326.983,2335.14,2325.438,2328.116,2294.595,2313.207,2298.645,2301.298,2292.355,2263.116
55,2568.595,2568.03,2651.155,2566.232,2360.155,2793.613,2709.869,2739.792,2598,2351.006,2372.738,2369.726,2368.988,2356.512,2335.095,2415.1,2452.383,2424.017,2444.1,2296.9,2333.091,2334.603,2324.736,2333.471,2297,2311.405,2308.843,2296.76,2293.124,2259.603
56,2560.44,2556.833,2652.958,2567.018,2362.25,2797.315,2716.887,2735.327,2599.869,2347.125,2370.839,2372.137,2368.518,2355.447,2331.447,2425.517,2444.3,2424.733,2457.767,2303.5,2339.24,2330.554,2321.289,2322.992,2294.248,2317,2306.496,2298.248,2289.719,2258.38
57,2562.012,2555.351,2648.857,2567.726,2362.738,2787.351,2728.768,2737.94,2594.286,2345.072,2375.649,2376.637,2375.512,2354.572,2332.315,2415.417,2435.15,2422.967,2449.333,2314.35,2329.554,2331.727,2322.149,2332.81,2285.149,2316.686,2298.777,2296.488,2292.661,2258.273
58,2562.899,2563.714,2641.708,2568.637,2363.994,2792.292,2733.202,2731.077,2597.685,2347.322,2374.125,2373.393,2372.375,2353.512,2336.006,2417.033,2444.9,2416.333,2441.85,2306.717,2327.76,2334.091,2324.579,2332.628,2293.355,2314.86,2299.438,2298.421,2294.595,2255.05
59,2560.78,2561.708,2651.81,2570.452,2362.25,2803,2735.488,2735.81,2593.964,2347.506,2375.994,2368.69,2369.25,2356.214,2333.822,2418.167,2443.633,2421.233,2454.783,2301.233,2326.661,2327.479,2330.264,2328.529,2293.174,2312.339,2297.851,2301.231,2291.686,2259.628
60,2563.827,2561.595,2648.315,2568.024,2364.643,2811.5,2744.107,2738.262,2602.655,2344.012,2373.583,2364.262,2371.589,2352.536,2334.411,2428.75,2435.5,2419.7,2463.017,2298.8,2330.256,2329.917,2324.901,2330.876,2294.686,2312.446,2301.926,2299.975,2293.372,2254.81
61,2564.048,2564.863,2642.5,2564.47,2363.357,2819.399,2707.738,2742.78,2602.113,2347.244,2374.887,2372.19,2373.322,2357.089,2335.387,2425.35,2436.367,2408.933,2455.4,2303.583,2326.372,2336.083,2327.314,2334.587,2298.273,2314.901,2300.992,2297.471,2291.041,2254.099
62,2566.798,2560.619,2646.113,2567.345,2363.857,2823.536,2714.5,2737.107,2592.619,2348.256,2376.417,2370,2374.565,2354.702,2331.887,2426.267,2438.183,2426.717,2453.633,2304.4,2332.24,2336.413,2323.669,2327.744,2293.711,2317.711,2300.091,2299.612,2298.322,2259.843
63,2568.565,2568.917,2639.738,2570.393,2365.095,2819.185,2721.077,2739.548,2593.363,2348.298,2372.911,2369.048,2372.452,2352.988,2338.048,2430.867,2437.65,2417.75,2458.617,2306.533,2327.653,2335.554,2324.554,2332.603,2295.231,2307.57,2298.471,2296.248,2294.14,2257.917
