Slice,arsR,arsR,arsR,arsR,arsRBG,zntA,zntA,zntA,zntA,zntABG,zraP,zraP,zraP,zraP,zraPBG,cusC,cusC,cusC,cusC,cusCBG,merR,merR,merR,merR,merRBG,U139,U139,U139,U139,U139BG
64,2562.327,2531.411,2562.214,2563.964,2365.137,2405.178,2700.851,2692.72,2623.726,2363.595,2404.292,2379.887,2379.125,2388.923,2374.226,2594.55,2594.917,2575.45,2546.467,2392.367,2374.562,2377.132,2366.81,2372.256,2336.686,2410.455,2412.231,2405.248,2383.198,2380.116
65,2576.512,2544.482,2577.69,2578.065,2368.274,2413.923,2732.202,2724.256,2647.19,2371.339,2411.232,2388.548,2382.815,2391.417,2376.78,2614.85,2612.133,2602.35,2561.917,2387,2390.438,2377.884,2368.793,2388.331,2344.653,2421.992,2415.198,2403.471,2380.612,2387.934
66,2580.792,2558.387,2581.553,2582.81,2371.214,2418.958,2746.131,2741.935,2661.494,2370.994,2412.178,2383.518,2376.643,2392.738,2371.375,2622.217,2614.283,2602.683,2557.583,2395.3,2382.066,2384.438,2372.289,2382.686,2342.835,2417.471,2416.19,2412.967,2375.669,2379.364
67,2587.964,2568.869,2583.994,2587.447,2364.524,2429.435,2767.78,2753.78,2676.417,2372.673,2412.405,2379.988,2378.167,2388.161,2375.595,2621.067,2618.717,2600.367,2564.8,2384.567,2384.446,2385.231,2371.24,2379.38,2332.264,2411.074,2416.529,2413.579,2375.959,2383.942
68,2608.863,2587.982,2609.208,2612.048,2366.042,2437.851,2800.357,2780.298,2698.958,2372.369,2410.137,2383.881,2379.56,2390.036,2375.256,2625.417,2613.85,2602.533,2566.933,2391.133,2382.124,2386.628,2375,2383.289,2337.769,2418.289,2420.934,2413.488,2377.207,2384.314
69,2638.881,2619.548,2641.744,2634.048,2360.161,2451.643,2838.107,2818.726,2723.143,2376.714,2409.452,2383.202,2380.351,2393.881,2371.417,2627.433,2624.117,2605.933,2566,2397.417,2387.05,2381.248,2372.645,2381.017,2339.24,2415.025,2416.694,2412.81,2377.471,2377.661
70,2674.125,2660.601,2681.875,2672.952,2367.107,2457.714,2893.048,2868.428,2750.292,2373.411,2413.083,2388.81,2381.72,2391.339,2376.637,2626.683,2632.933,2606.95,2570.567,2389.367,2384.331,2381.504,2378.157,2383.901,2341.901,2417.289,2417.843,2412.512,2376.562,2390.512
71,2719.006,2707.322,2729.31,2708.512,2364.97,2465.292,2937.857,2913.03,2781.042,2373.178,2408.607,2382.339,2384.28,2392.44,2379.512,2627.417,2627.017,2613,2574.583,2397.483,2381.033,2384.694,2381.512,2385.355,2339.091,2417.562,2420.868,2416.587,2384.669,2385.438
72,2766.161,2754.518,2777.667,2758.827,2371.524,2478.833,2981.435,2952.024,2810.857,2374.494,2414.542,2388.47,2381.572,2395.161,2374.726,2631.517,2625.183,2615.15,2580.433,2401.55,2383.496,2382.678,2374.463,2385.496,2343.43,2422.686,2418.339,2416.322,2383.661,2382.603
73,2820.643,2805.625,2829.702,2806.143,2366.845,2488.119,3038.649,2984.619,2833.447,2373.226,2414.637,2386,2383.125,2392.631,2376.69,2641.4,2642.6,2622.317,2587.617,2392.483,2382.686,2385.57,2375.124,2381.752,2342.851,2417.612,2419.86,2412.835,2378.215,2387.033
