Slice,arsR,arsR,arsR,arsR,arsRBG,zntA,zntA,zntA,zntA,zntABG,zraP,zraP,zraP,zraP,zraPBG,cusC,cusC,cusC,cusC,cusCBG,merR,merR,merR,merR,merRBG,U139,U139,U139,U139,U139BG
53,2559.464,2628.607,2616.47,2644.613,2391.917,2855.28,2864.518,2832.905,2787.06,2399.786,2479.149,2455.619,2442.976,2465.923,2398.381,2660.05,2625.317,2629.917,2616.767,2411.783,2381.942,2391.653,2434.223,2404.678,2354.512,2407.504,2405.231,2445.917,2452.455,2350.744
54,2561.161,2630.298,2607.738,2635.107,2388.726,2855,2858.435,2832.143,2775.089,2403.685,2477.678,2456.208,2443.303,2465.244,2395.685,2664.3,2629.983,2646.883,2614.367,2407.95,2383.306,2389.347,2441.355,2405.496,2351.537,2408.397,2403.843,2442.264,2450.917,2352.628
55,2560.702,2627.411,2611.006,2641.762,2387.833,2855.065,2860.173,2834.518,2784.178,2401.167,2482.786,2458.303,2439.863,2463.613,2397.369,2660.167,2620.033,2631.117,2623,2411.083,2383.405,2393.017,2438.066,2405.769,2347.058,2409.074,2404.95,2441.322,2453.364,2354.43
56,2557.238,2632.994,2610.595,2638.685,2387.815,2851.685,2862.161,2835.381,2782.637,2405.69,2482.798,2455.988,2447.458,2462.167,2398.631,2661.1,2621.833,2639.417,2625.233,2412.833,2385.835,2392.174,2440.835,2407.826,2347.884,2407.38,2408.372,2439.959,2453.661,2352.132
57,2564.155,2624.803,2610.387,2628.536,2391.315,2859.447,2861.012,2834.423,2791.072,2404.506,2483,2450.905,2448.964,2463.685,2401.44,2649.867,2635.117,2642.717,2623.317,2409.6,2387.165,2392.893,2436.347,2407.355,2350.992,2409.868,2406.876,2443.992,2459.05,2353.041
58,2561.762,2631.351,2614.774,2637.762,2391.726,2862.607,2858.322,2828.024,2787.149,2399.351,2489.185,2454.619,2443.423,2464.458,2400.072,2670.1,2625.367,2643.867,2620.267,2412.9,2384.512,2388.165,2434.248,2413.785,2349.207,2406.661,2402.95,2441.033,2460.678,2350.364
59,2567.435,2631.024,2611,2635.589,2390.315,2861.357,2855.256,2829.232,2783.744,2401.613,2485.72,2454.256,2447.405,2460.226,2399.185,2674.45,2629.25,2646.233,2612.867,2414.683,2385.091,2392.579,2440.992,2404.992,2350.727,2404.983,2405,2445.182,2451.777,2357.537
60,2561.982,2628.048,2611.053,2626.714,2387.208,2867.458,2857.738,2832.893,2782.583,2399.631,2492.042,2450.661,2445.976,2458.625,2397.363,2669.367,2631.967,2650.3,2610.883,2415.067,2388.364,2394.182,2437.686,2410.579,2353.512,2401.273,2407.025,2441.992,2452.149,2354.612
61,2559.887,2627.887,2612.417,2644.928,2390.756,2863.905,2857.298,2828.869,2784.822,2400.744,2488.815,2450.976,2451.167,2460.738,2399.428,2667.883,2633.85,2643.4,2616.55,2412.517,2383.587,2396.537,2445.678,2406.653,2351.231,2404.545,2405.066,2441.512,2449.355,2355.587
62,2568.482,2624.363,2608.25,2642.75,2390.28,2856.274,2858.167,2829.167,2788.833,2405.423,2483.31,2455.786,2452.643,2463.339,2399.697,2663.033,2633.733,2644.917,2618.067,2408.217,2387.455,2393.711,2439.57,2411.355,2348.942,2402.967,2408.537,2443.752,2452.967,2352.165
63,2574.667,2620.905,2613.447,2652.167,2392.577,2866.494,2856.268,2831.815,2784.03,2399.738,2485.827,2449.202,2453.607,2464.143,2395.857,2670.433,2628.867,2633.417,2625.85,2406.117,2383.802,2394.041,2437.917,2410.298,2348.595,2402.678,2404.207,2446.198,2448.14,2354.397
64,2572.268,2625.75,2624.857,2637.339,2390.536,2856.976,2859.47,2826.589,2777.744,2399.083,2487.619,2451.161,2451.435,2462.72,2404.714,2669.1,2630.6,2641.817,2623.283,2405.65,2387.983,2393.835,2445.223,2411.636,2354.017,2404.645,2404.95,2443.281,2454.066,2353.81
65,2625.881,2672.786,2663.845,2695.786,2403.173,2919.786,2932.548,2901.447,2844.595,2408.077,2566.863,2514.256,2523.042,2534.643,2411.565,2704.283,2659.6,2675.167,2648.4,2417.433,2436.628,2441.041,2490.86,2453.512,2361.727,2453.446,2458.727,2508.107,2515.025,2370.876
66,2707.833,2804.958,2747.018,2806.077,2394.589,3027.131,3048.024,3008.161,2942.917,2410.28,2563.851,2523.381,2525.327,2539.44,2410,2789.633,2696.333,2737.817,2731.9,2412.9,2433.463,2442.132,2491.463,2456.851,2356.025,2456.471,2457.926,2506.521,2524.851,2357.967
67,2815.369,2931.952,2850.042,2926.732,2400.815,3151.476,3167.197,3125.244,3042.447,2406.494,2577.637,2529.083,2526.226,2545.22,2404.78,2911.533,2768.35,2862.333,2849.233,2411.667,2440.587,2444.099,2493.702,2457.405,2356.471,2459.579,2468.826,2516.529,2518.76,2366.157
68,2915.887,2996.387,2931.5,2915.928,2403.607,3239.714,3245.28,3193.22,3099.601,2407.03,2587.553,2533.613,2533.78,2548.333,2400.542,2961.083,2822.033,2904.583,2867.783,2416.4,2437.074,2450.57,2497.967,2460.479,2359,2467.033,2463.769,2524.57,2534.603,2367.95
69,3036.947,3031.125,2993.363,2970.75,2400.875,3287.572,3288.619,3234.411,3150.774,2411.226,2594.827,2539.178,2537.565,2558.363,2410.536,2971.817,2817.95,2889.45,2844.05,2411.5,2435.017,2449.074,2496.537,2458.471,2361.463,2465.752,2466.397,2537.669,2550.306,2358.339
70,3100.786,3026.667,3033.458,3034.369,2396.869,3319.661,3320.911,3254.375,3175.988,2411.738,2582.524,2548.226,2542.572,2555.327,2409.637,2926.917,2809.15,2866.633,2819.917,2419.75,2440.43,2446.058,2495.661,2463.479,2356.595,2470.917,2469.926,2539.744,2556.207,2367.678
71,3209.03,3011.167,3064.601,3049.798,2401.78,3336.947,3329.357,3266.226,3181.387,2409.78,2586.077,2540.28,2544.053,2554.613,2410.28,2889.1,2784.4,2822.75,2795.6,2415.817,2440.926,2446.818,2502.744,2455.223,2359.488,2471.405,2471.471,2550.496,2555.686,2367.025
72,3216.357,3009.333,3094.375,3090.952,2397.75,3343.428,3334.077,3266.947,3188.119,2413.322,2580.947,2552.822,2547.095,2564.012,2406.238,2867.017,2775.717,2807.167,2772.75,2421.95,2437.909,2448.322,2502.446,2459.95,2358.529,2468.95,2465.041,2551.339,2560.107,2361.851
73,3264.798,3000.399,3114.149,3081.375,2398.333,3348.464,3323.072,3261.53,3153.345,2413.119,2577.262,2554.53,2549.833,2560.286,2406.202,2852.45,2747.15,2778.483,2773.067,2414.6,2439.752,2449.223,2500.083,2463.818,2359.264,2467.636,2475.868,2549.223,2566.289,2367.397
74,3274.583,3005.101,3119.583,3128.042,2400.69,3334.262,3318.833,3263.31,3127.697,2411.155,2576.947,2549.56,2555.018,2559.839,2408.494,2831.083,2746.383,2763.25,2761.25,2420.617,2436.017,2445.008,2502.81,2462.562,2358.769,2475.14,2468.893,2551.116,2565.124,2365.174
75,3253.202,3016.643,3146.548,3106.178,2397.363,3328.173,3308.643,3249.815,3129.851,2410.738,2567.935,2552.185,2551.928,2552.19,2406.19,2831.667,2744,2759.883,2745.95,2414.167,2440.066,2453.008,2496.926,2461.537,2357.38,2473.554,2473.636,2555.893,2562.281,2360.405
76,3273.161,3039.226,3173.613,3110.167,2397.042,3322.476,3282.815,3237.786,3123.006,2412.923,2565.589,2551.327,2550.065,2559.893,2403.726,2821.5,2751.033,2761.583,2747.9,2417,2440.785,2452.099,2506.785,2467.223,2356.818,2475.388,2478.893,2553.992,2554.835,2362.537
77,3240.988,3046.28,3179.083,3113.935,2398.155,3320.893,3280.685,3229.893,3125.256,2407.256,2563.56,2551.494,2552.947,2561.387,2406.31,2835.6,2737.517,2742.55,2738.967,2416.217,2442.231,2448.595,2501.57,2465.157,2362.405,2473.017,2471.545,2561.628,2563.116,2367.603
78,3252.803,3051.345,3189.28,3121.887,2405.202,3308.553,3274.798,3227.72,3115.911,2414.607,2559.137,2553.601,2554.643,2559.595,2410.185,2816.267,2742.267,2763.233,2742.783,2413.417,2444.893,2446.934,2504.413,2463.264,2355.719,2470.372,2477.802,2550.025,2554.223,2359.107
79,3283.381,3054.928,3193.863,3144.595,2404.185,3297.851,3267.303,3202.202,3109.351,2409.143,2558.685,2553.815,2557.631,2565.768,2407.738,2800.867,2733.967,2750.6,2724.983,2412.4,2440.669,2449.19,2502.289,2465.008,2363.364,2479.496,2477.017,2551.636,2559.86,2362.802
80,3260.607,3063.197,3198.393,3085.512,2405.327,3277.494,3253.994,3180.702,3100.976,2407.708,2549.708,2556.357,2552.464,2556.44,2409.798,2783.667,2745.267,2728.733,2732.45,2414.217,2445.488,2455.388,2506.81,2463.397,2358.322,2479.678,2481.207,2561.562,2559.512,2367.645
81,3262.762,3068.72,3206.875,3101.22,2404.256,3256.75,3243.476,3171.714,3094.363,2413.417,2557.137,2555.982,2548.494,2562.464,2410.583,2788.033,2731.183,2743.7,2720.667,2420.917,2449,2452.851,2504.876,2463.967,2357.298,2477.306,2477.727,2564.752,2555.529,2368.182
82,3292.911,3067.167,3215.012,3092.881,2400.351,3259.44,3234.667,3156.923,3086.774,2412.143,2556.536,2555.006,2545.756,2564.387,2410.964,2767.683,2716.833,2735.817,2721.067,2411.633,2450.777,2456.471,2501.347,2457.76,2361.405,2477.397,2482.835,2558.975,2556.405,2367.975
83,3293.357,3067.423,3200.464,3107.024,2404.089,3243.542,3220.19,3146.905,3056.494,2410.726,2556.613,2550.833,2546.947,2562.25,2409.494,2760.25,2713.267,2719.767,2718.033,2422.45,2446.05,2449.455,2506.86,2460.686,2370.008,2476.587,2484.347,2555.14,2559.512,2359.926
84,3277.869,3066.113,3203.44,3098.69,2404.786,3233.202,3206.411,3129.887,3054.911,2409.47,2554.214,2556.928,2550.768,2562.173,2410.97,2759.867,2710.783,2731.867,2707.533,2429,2451.81,2454.702,2504.678,2466.446,2358.355,2474.711,2476.769,2553.917,2559.331,2365.322
85,3195.131,3068.387,3205.125,3116.232,2403.077,3220.952,3190.923,3113.411,3048.303,2412.601,2547.851,2552.803,2545.006,2563.5,2408.625,2753.85,2701.217,2720.883,2694.017,2423.167,2440.041,2453.24,2509.455,2466.083,2362.587,2475.736,2478.223,2555.306,2548.339,2368.719
86,3187.78,3071.345,3187.78,3123.315,2405.595,3213.649,3184.178,3109.476,3039.065,2413.303,2552.798,2543.928,2541.56,2564.303,2408.637,2745.767,2710.35,2716.717,2695.167,2418,2453.471,2458.736,2501.157,2469.76,2361.347,2477.298,2485.314,2545.529,2552.86,2374.57
87,3176.792,3068.673,3188.94,3133.506,2402.851,3216.369,3176.137,3102.744,3034.185,2414.292,2552.303,2546.548,2544.655,2561.572,2409.762,2746.2,2700.833,2716.733,2701.05,2427.567,2450.298,2460.86,2509.174,2468.066,2363.157,2476.719,2476.702,2544.95,2553.43,2363.57
88,3168.161,3061,3191.262,3118.178,2400.512,3208.464,3164.083,3100.613,3028.625,2413.714,2548.161,2549.685,2552.857,2565.024,2409.178,2739.867,2704.017,2700.7,2697.75,2423.2,2452.207,2456.132,2511.041,2467.446,2364.81,2477.397,2476.992,2547.851,2553.471,2364.967
89,3121.494,3066.845,3171.738,3096.875,2405.22,3189.678,3147.56,3077.155,3016.488,2412.47,2545.03,2549.72,2545.518,2560.53,2410.702,2727.867,2685.75,2700.483,2693.567,2421.633,2453.24,2456.628,2506.19,2463.835,2365.562,2470.554,2476.719,2544.471,2559.231,2370.372
