,ppm,hm,sensor,strain,max
114,0.02,Pb,zraP,MG,9.081515167920886
115,0.02,Pb,zraP,MG,2.792707525213344
116,0.02,Pb,zraP,MG,3.261072834645669
117,0.03,Pb,zraP,MG,4.415048470842462
118,0.03,Pb,zraP,MG,4.216903837861148
119,0.03,Pb,zraP,MG,4.121434827831609
120,0.04,Pb,zraP,MG,5.226623160820568
121,0.04,Pb,zraP,MG,5.598176657779306
122,0.04,Pb,zraP,MG,4.900716479017399
123,0.06,Pb,zraP,MG,7.165580755208715
124,0.06,Pb,zraP,MG,5.765743720253025
125,0.06,Pb,zraP,MG,6.144392063674576
126,0.1,Pb,zraP,MG,7.084770393334625
127,0.1,Pb,zraP,MG,7.535800923389936
128,0.1,Pb,zraP,MG,6.979202583258079
129,0.2,Pb,zraP,MG,9.891440501
130,0.2,Pb,zraP,MG,9.919337795
