Slice,arsR,arsR,arsR,arsR,arsRBG,zntA,zntA,zntA,zntA,zntABG,zraP,zraP,zraP,zraP,zraPBG,cusC,cusC,cusC,cusC,cusCBG,merR,merR,merR,merR,merRBG,U139,U139,U139,U139,U139BG
50,2658.536,2655.125,2642.881,2643.833,2509.548,2725,2725.208,2812.792,2905.613,2497.702,2505.47,2496.607,2488.947,2479.077,2479.44,2603.15,2612.45,2572.133,2597.617,2439.267,2495.182,2486.463,2495.826,2508.397,2486.818,2541.116,2530.157,2532.76,2530.545,2520.289
51,2659.726,2654.911,2644.863,2645.274,2511.226,2716.327,2725.161,2811.077,2909.815,2497.923,2494.065,2496.863,2488.065,2477.244,2474.083,2605.017,2610.4,2573.317,2597.083,2445.933,2492.074,2488.273,2496.702,2505.405,2483.455,2545.496,2528.264,2528.488,2538.917,2519.364
52,2661.577,2657.22,2649.315,2644.97,2516.024,2721.458,2725.238,2805.077,2899.833,2499.268,2495.375,2491.256,2491.072,2477.845,2476.053,2604.6,2604.733,2566.867,2590.933,2432.867,2501.752,2491.091,2503.851,2510.008,2481.901,2545.488,2529.529,2526.198,2531.562,2524.463
53,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
54,2660.167,2648.81,2646.06,2648.238,2513.923,2726.738,2721.238,2808.256,2900.893,2497.119,2493.887,2498.012,2492.411,2478.476,2473.774,2599.967,2606.583,2571.117,2595.767,2438.633,2496.76,2483.529,2499.24,2508.066,2486.322,2545.124,2530.124,2529.165,2539.066,2525.57
55,2659.006,2653.976,2640.607,2640.256,2510.667,2738,2721.732,2811.851,2905.631,2493.572,2495.268,2496.339,2490.661,2477.351,2472.447,2595.5,2601.283,2574.3,2589.183,2438.717,2491.645,2489.603,2497.14,2501.661,2485.884,2547.76,2537.86,2530.14,2536.165,2527.017
56,2664.048,2643.762,2646.464,2643.072,2515.875,2737.322,2714.5,2804.322,2897.845,2496.327,2494.708,2494.089,2487.072,2476.101,2471.125,2599.467,2608,2572.833,2603.467,2439.883,2494.455,2495.322,2497.066,2502.645,2482.653,2544.405,2531.545,2530.198,2535.008,2522.248
57,2662.244,2653.161,2642.053,2650.649,2514.018,2743.101,2715.006,2803.155,2902.095,2498.685,2497.262,2497.345,2490.726,2473.488,2469.678,2603.95,2613.9,2565.733,2609.267,2439.7,2498.851,2492.446,2495.595,2503.769,2487.967,2537.273,2532.413,2527.132,2533.686,2521.95
58,2666.25,2653.333,2649.47,2652.756,2511.673,2740.822,2710.845,2803.935,2911.631,2494.208,2497.226,2490.536,2494.458,2483.78,2470.827,2595.183,2602.85,2579.4,2590.4,2437.133,2501.612,2488.661,2502.347,2499.43,2483.727,2537.727,2535.446,2532.917,2526,2523.868
59,2665.875,2648.952,2641.464,2645.506,2516.131,2748.857,2710.863,2794.78,2908.673,2499.131,2496.589,2495.357,2492.357,2476.447,2475.363,2600.433,2608.583,2565.167,2594.267,2440.85,2497.446,2492.744,2498.273,2504.397,2488.339,2545.372,2534.05,2530.909,2529.017,2522.421
60,2665.345,2651.411,2637.952,2640.649,2518.714,2748.03,2718.131,2794.345,2908.726,2497.923,2501.661,2500.155,2490.077,2478.827,2474.542,2607.3,2601.5,2575.783,2592.6,2437.317,2496.438,2493.95,2498.926,2508.43,2485.248,2544.264,2527.826,2531.281,2528.058,2528.521
61,2667.238,2648.518,2643.447,2636.405,2510.548,2744.905,2713.905,2791.274,2907.619,2497.161,2497.256,2492.238,2489.393,2478.19,2473.512,2595.7,2609.767,2572.233,2598.267,2438.517,2508.628,2491.777,2496.769,2503.917,2485.099,2543.041,2530.455,2534.603,2533.273,2522.132
62,2667.238,2653.06,2644.851,2643.738,2514.238,2751.887,2710.012,2785.56,2902.036,2494.428,2500.94,2496.827,2491.095,2477.47,2474.678,2605.683,2611.733,2572.033,2594.533,2436.05,2498.537,2489.934,2499.149,2506.091,2481.595,2539.57,2531.876,2533.636,2532.802,2520.579
